UserID,P1s2,P2s0,P3s0,P4s0,PAs0,PBs0,PCs0,PDs1,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error
10116,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,161.4745428667343,168.6075798088002,0.37495273124866424,1.0398968826970936,0.2637151171482212,0.36556684160600944
10120,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,173.6784190632699,168.6075798088002,0.09949440183443937,1.0398968826970936,0.1538733756667771,0.36556684160600944
10122,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.847708159030034,67.76591205850178,-0.0016024737010182366,0.4082511397383325,0.29578513089920083,3.0817796135530484
10126,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,58.740291637732966,67.76591205850178,-1.486915946663049,0.4082511397383325,0.5251683657527988,3.0817796135530484
10128,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,60.6328751164359,168.6075798088002,0.09575795394689235,1.0398968826970936,1.1815677261956516,0.36556684160600944
10129,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10130,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.785166957405864,168.6075798088002,-0.6619827635373221,1.0398968826970936,0.04031131656916821,0.36556684160600944
10131,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,67.76591205850178,-1.4485415307478813,0.4082511397383325,0.8005176592488864,3.0817796135530484
10132,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10134,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10135,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,56.847708159030034,67.76591205850178,-0.0016024737010182366,0.4082511397383325,0.29578513089920083,3.0817796135530484
10136,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10137,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10138,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10139,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,67.76591205850178,-1.4485415307478813,0.4082511397383325,0.8005176592488864,3.0817796135530484
10140,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.892583478702932,179.08045562451923,-0.6544909021179951,1.6679472860988291,0.046609052307880997,0.3655554115135079
10141,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,173.84401771665972,-1.4485415307478813,1.3539177412341905,0.8005176592488864,0.2722036982726221
10144,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,171.78583558456697,67.76591205850178,-0.03500824426110111,0.4082511397383325,0.7010452012417091,3.0817796135530484
10145,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,175.57100254197283,168.6075798088002,0.12530489003795744,1.0398968826970936,0.1706847918783948,0.36556684160600944
10146,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.677750436108797,173.84401771665972,-0.6553568049603486,1.3539177412341905,0.04212231983605816,0.2722036982726221
10148,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,179.08045562451923,-1.4485415307478813,1.6679472860988291,0.8005176592488864,0.3655554115135079
10149,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,168.6075798088002,-1.4485415307478813,1.0398968826970936,0.8005176592488864,0.36556684160600944
10152,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,161.4745428667343,67.76591205850178,0.37495273124866424,0.4082511397383325,0.2637151171482212,3.0817796135530484
10153,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.892583478702932,168.6075798088002,-0.6544909021179951,1.0398968826970936,0.046609052307880997,0.36556684160600944
