UserID,Type,Group,CLRole,PlayerRole,logintimePA,firstsubmtimePA,viewtimePA,apxtPA,exatPA,nsubmPA,nevalPA,corrPA,nviewPA,logintimePB,firstsubmtimePB,viewtimePB,apxtPB,exatPB,nsubmPB,nevalPB,corrPB,nviewPB,logintimePC,firstsubmtimePC,viewtimePC,apxtPC,exatPC,nsubmPC,nevalPC,corrPC,nviewPC,logintimePD,firstsubmtimePD,viewtimePD,apxtPD,exatPD,nsubmPD,nevalPD,corrPD,nviewPD
10119,ont-gamified,Grupo Zeus,Master,Yee Achiever,0,0,0,0,48,0,0,0,1,0,0,0,0,180,0,0,0,1,0,0,0,0,113,0,0,0,0,0,0,0,0,38,0,0,0,0
10139,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,1480116171,1480118281,1480116540,1733,24,1,1,10,3,1480116171,1480118995,1480118304,691,0,1,1,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10131,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,1480115075,1480117374,1480115763,1676,11,3,2,10,4,1480115075,1480119093,1480117473,1699,0,2,2,10,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
10147,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10157,ont-gamified,Grupo Zeus,Apprentice,Yee Achiever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1480116406,1480117832,1480117658,343,6,3,2,10,8,1480116406,1480119088,1480118025,1669,882,6,2,10,8,1480351419,1480351529,1480351425,178929,10747,6,5,10,22,1480529750,1480530262,1480530255,7,0,1,1,10,8
10141,ont-gamified,Grupo Apolo,Master,Yee Socializer,1480117647,1480117675,1480117659,84,78,2,2,10,9,1480118431,1480118530,1480118452,274,408,3,3,10,7,1480118431,1480124891,1480118841,6261,327,2,2,10,7,1480118431,1480122833,1480121363,4036,183,5,5,10,8
10143,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10134,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1480114905,1480116044,1480115222,2982,2767,29,3,10,4,1480114905,1480118826,1480116168,2705,1112,2,1,10,2,1480114905,1480119315,1480118909,406,3,1,1,10,2,0,0,0,0,0,0,0,0,2
10121,ont-gamified,Grupo Hades,Master,Yee Achiever,1480115258,1480117078,1480115554,2525,2305,14,3,10,5,1480115258,1480119428,1480118329,2509,2157,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
