UserID,Type,CLRole,ParticipationLevel,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item09,Item12,Item14,Item15,Item16,Item17,Item18,Item20,Item21,Item22,Item24,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
10116.0,non-gamified,Master,semicomplete,3.0,7.0,4.0,4.0,2.0,6.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,6.0,3.7142857142857144,2.4,2.6666666666666665,4.0,3.6666666666666665
10120.0,ont-gamified,Master,semicomplete,7.0,3.0,7.0,7.0,6.0,2.0,1.0,6.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,5.0,5.571428571428571,6.2,1.3333333333333333,7.0,6.166666666666667
10121.0,ont-gamified,Master,partial,1.0,2.0,5.0,5.0,2.0,2.0,3.0,6.0,6.0,3.0,4.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,4.714285714285714,4.6,3.3333333333333335,5.0,4.722222222222222
10122.0,non-gamified,Apprentice,complete,2.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.142857142857143,5.6,1.0,4.666666666666667,4.333333333333333
10123.0,ont-gamified,Apprentice,complete,2.0,5.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,2.7142857142857144,4.4,3.3333333333333335,4.0,3.7222222222222223
10126.0,ont-gamified,Apprentice,complete,5.0,2.0,5.0,7.0,6.0,2.0,5.0,6.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,5.0,4.0,5.428571428571429,6.0,1.3333333333333333,5.0,5.722222222222222
10127.0,ont-gamified,Apprentice,none,4.0,2.0,5.0,7.0,6.0,3.0,5.0,6.0,6.0,2.0,3.0,4.0,4.0,2.0,1.0,6.0,7.0,6.0,6.0,5.2,2.6666666666666665,5.0,5.5
10128.0,ont-gamified,Apprentice,none,1.0,4.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,6.4,1.0,1.0,3.5
10129.0,non-gamified,Apprentice,semicomplete,1.0,7.0,7.0,4.0,2.0,4.0,2.0,2.0,1.0,7.0,5.0,5.0,4.0,7.0,2.0,3.0,1.0,1.0,2.142857142857143,2.8,6.333333333333333,5.666666666666667,2.8333333333333335
10130.0,non-gamified,Apprentice,semicomplete,4.0,3.0,6.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.714285714285714,4.0,4.666666666666667,5.666666666666667,4.444444444444445
10131.0,ont-gamified,Apprentice,complete,4.0,5.0,6.0,7.0,4.0,7.0,1.0,5.0,7.0,1.0,7.0,2.0,7.0,2.0,1.0,7.0,7.0,7.0,6.285714285714286,2.0,1.6666666666666667,6.666666666666667,5.166666666666667
10132.0,non-gamified,Apprentice,none,1.0,7.0,7.0,6.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,3.5
10134.0,ont-gamified,Apprentice,semicomplete,2.0,6.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.2857142857142856,3.2,3.0,4.0,3.2777777777777777
10135.0,non-gamified,Apprentice,partial,5.0,4.0,5.0,7.0,7.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,4.714285714285714,6.0,4.0,5.0,5.0
10136.0,non-gamified,Apprentice,none,1.0,7.0,3.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,5.0,3.0,7.0,7.0,6.0,1.0,1.0,1.0,1.1428571428571428,1.6,3.6666666666666665,2.0,1.9444444444444444
10137.0,ont-gamified,Apprentice,complete,5.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,5.0,6.0,5.714285714285714,6.0,1.0,5.333333333333333,5.944444444444445
10138.0,ont-gamified,Apprentice,semicomplete,3.0,4.0,7.0,7.0,4.0,6.0,1.0,6.0,6.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.857142857142857,3.4,3.3333333333333335,7.0,4.777777777777778
10139.0,ont-gamified,Apprentice,complete,1.0,4.0,5.0,7.0,7.0,4.0,5.0,6.0,3.0,4.0,7.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0,4.142857142857143,4.6,2.6666666666666665,5.0,4.611111111111111
10140.0,non-gamified,Apprentice,none,1.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,2.4285714285714284,4.0,5.0,3.0,3.0555555555555554
10141.0,ont-gamified,Master,complete,2.0,4.0,5.0,4.0,4.0,6.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,5.0,5.0,4.0,4.142857142857143,3.6,2.6666666666666665,4.666666666666667,4.277777777777778
10142.0,ont-gamified,Apprentice,partial,4.0,6.0,4.0,7.0,1.0,3.0,3.0,6.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,6.0,4.857142857142857,3.2,2.0,5.333333333333333,4.666666666666667
10143.0,ont-gamified,Apprentice,semicomplete,4.0,4.0,6.0,6.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,4.428571428571429,4.8,2.3333333333333335,6.0,5.0
10145.0,non-gamified,Master,semicomplete,1.0,7.0,7.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,7.0,3.0,2.0,4.0,2.7142857142857144,2.2,4.0,6.0,3.3333333333333335
10146.0,non-gamified,Apprentice,complete,5.0,3.0,6.0,6.0,6.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,5.166666666666667
10148.0,ont-gamified,Apprentice,complete,4.0,3.0,6.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,1.0,6.0,5.0,3.0,4.714285714285714,5.0,4.0,5.666666666666667,4.833333333333333
10149.0,non-gamified,Apprentice,none,4.0,3.0,7.0,1.0,1.0,7.0,5.0,1.0,1.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,1.0,1.0,2.2857142857142856,2.2,6.333333333333333,3.6666666666666665,2.388888888888889
10152.0,ont-gamified,Master,semicomplete,7.0,3.0,7.0,6.0,7.0,4.0,7.0,7.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,6.857142857142857,5.6,2.3333333333333335,4.666666666666667,5.944444444444445
10153.0,non-gamified,Apprentice,none,5.0,4.0,5.0,5.0,7.0,3.0,2.0,5.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,3.0,6.0,4.0,4.571428571428571,4.2,2.0,5.333333333333333,4.833333333333333
10154.0,non-gamified,Apprentice,none,3.0,6.0,5.0,4.0,2.0,6.0,3.0,4.0,2.0,2.0,6.0,6.0,6.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,3.6666666666666665,4.666666666666667,2.8333333333333335
10158.0,non-gamified,Apprentice,none,7.0,3.0,7.0,7.0,4.0,4.0,1.0,6.0,7.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,7.0,6.0,6.428571428571429,4.8,1.0,7.0,6.166666666666667
