UserID,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412
10169,7.0,7.0,4.0,7.0,7.0,1.0,7.0,7.0,1.0,7.0,1.0,7.0,7.0,5.0,7.0,4.0,7.0,2.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,7.0,5.0,5.0,2.0,2.0,5.0,2.0,7.0,6.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,2.0,6.0,7.0
10170,4.0,4.0,2.0,4.0,5.0,1.0,5.0,4.0,2.0,5.0,1.0,6.0,6.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,6.0,4.0,3.0,4.0,3.0,6.0,2.0,4.0,6.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,5.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,5.0,5.0
10171,6.0,6.0,2.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,7.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,6.0,6.0,2.0,6.0,5.0,7.0,2.0,7.0,7.0,6.0,6.0,2.0,2.0,1.0,1.0,7.0,6.0,6.0,5.0,4.0,7.0,6.0,7.0,6.0,1.0,5.0,2.0,6.0,5.0
10172,6.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10174,6.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
10175,6.0,6.0,3.0,6.0,5.0,1.0,6.0,5.0,2.0,5.0,1.0,7.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0
10176,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,6.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0
10178,2.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
10179,3.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,7.0,1.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,6.0,6.0,5.0,6.0,6.0,5.0,2.0,4.0,5.0,1.0,4.0,4.0,5.0,7.0,4.0,2.0,6.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0
10181,1.0,1.0,4.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,2.0,5.0,4.0,7.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,1.0,2.0,4.0,5.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
10183,2.0,2.0,6.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0
10184,6.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
